emoji_revolving-hearts_1f49e,				# 💞
emoji_two-hearts_1f495,					# 💕
emoji_heart-decoration_1f49f,				# 💟
emoji_heart-exclamation_2763,				# ❣
emoji_broken-heart_1f494,				# 💔
emoji_heart-on-fire_2764,				# ❤️‍🔥
emoji_mending-heart_2764,				# ❤️‍🩹
emoji_red-heart_2764,					# ❤
emoji_pink-heart_1fa77,					# 🩷
emoji_orange-heart_1f9e1,				# 🧡
emoji_yellow-heart_1f49b,				# 💛
emoji_green-heart_1f49a,				# 💚
emoji_blue-heart_1f499,					# 💙
emoji_light-blue-heart_1fa75,				# 🩵
emoji_purple-heart_1f49c,				# 💜
emoji_brown-heart_1f90e,				# 🤎
emoji_black-heart_1f5a4,				# 🖤
emoji_grey-heart_1fa76,					# 🩶
emoji_white-heart_1f90d,				# 🤍
emoji_kiss-mark_1f48b,					# 💋
emoji_hundred-points_1f4af,				# 💯
emoji_anger-symbol_1f4a2,				# 💢
emoji_collision_1f4a5,					# 💥
emoji_dizzy_1f4ab,					# 💫
emoji_sweat-droplets_1f4a6,				# 💦
emoji_dashing-away_1f4a8,				# 💨
emoji_hole_1f573,					# 🕳
emoji_speech-balloon_1f4ac,				# 💬
emoji_eye-in-speech-bubble_1f441,			# 👁️‍🗨️
emoji_left-speech-bubble_1f5e8,				# 🗨
emoji_right-anger-bubble_1f5ef,				# 🗯
emoji_thought-balloon_1f4ad,				# 💭
emoji_zzz_1f4a4,					# 💤
emoji_waving-hand_1f44b,				# 👋
emoji_raised-back-of-hand_1f91a,			# 🤚
emoji_hand-with-fingers-splayed_1f590,			# 🖐
emoji_raised-hand_270b,					# ✋
emoji_vulcan-salute_1f596,				# 🖖
emoji_rightwards-hand_1faf1,				# 🫱
emoji_leftwards-hand_1faf2,				# 🫲
emoji_palm-down-hand_1faf3,				# 🫳
emoji_palm-up-hand_1faf4,				# 🫴
emoji_leftwards-pushing-hand_1faf7,			# 🫷
emoji_rightwards-pushing-hand_1faf8,			# 🫸
emoji_ok-hand_1f44c,					# 👌
emoji_pinched-fingers_1f90c,				# 🤌
emoji_pinching-hand_1f90f,				# 🤏
emoji_victory-hand_270c,				# ✌
emoji_crossed-fingers_1f91e,				# 🤞
emoji_hand-with-index-finger-and-thumb-crossed_1faf0,	# 🫰
emoji_love-you-gesture_1f91f,				# 🤟
emoji_sign-of-the-horns_1f918,				# 🤘
emoji_call-me-hand_1f919,				# 🤙
emoji_backhand-index-pointing-left_1f448,		# 👈
emoji_backhand-index-pointing-right_1f449,		# 👉
emoji_backhand-index-pointing-up_1f446,			# 👆
emoji_middle-finger_1f595,				# 🖕
emoji_backhand-index-pointing-down_1f447,		# 👇
emoji_index-pointing-up_261d,				# ☝
emoji_index-pointing-at-the-viewer_1faf5,		# 🫵
emoji_thumbs-up_1f44d,					# 👍
emoji_thumbs-down_1f44e,				# 👎
emoji_raised-fist_270a,					# ✊
emoji_oncoming-fist_1f44a,				# 👊
emoji_left-facing-fist_1f91b,				# 🤛
emoji_right-facing-fist_1f91c,				# 🤜
emoji_clapping-hands_1f44f,				# 👏
emoji_raising-hands_1f64c,				# 🙌
emoji_heart-hands_1faf6,				# 🫶
emoji_open-hands_1f450,					# 👐
emoji_palms-up-together_1f932,				# 🤲
emoji_handshake_1f91d,					# 🤝
emoji_folded-hands_1f64f,				# 🙏
emoji_writing-hand_270d,				# ✍
emoji_nail-polish_1f485,				# 💅
emoji_selfie_1f933,					# 🤳
emoji_flexed-biceps_1f4aa,				# 💪
emoji_mechanical-arm_1f9be,				# 🦾
emoji_mechanical-leg_1f9bf,				# 🦿
emoji_leg_1f9b5,					# 🦵
emoji_foot_1f9b6,					# 🦶
emoji_ear_1f442,					# 👂
emoji_ear-with-hearing-aid_1f9bb,			# 🦻
emoji_nose_1f443,					# 👃
emoji_brain_1f9e0,					# 🧠
emoji_anatomical-heart_1fac0,				# 🫀
emoji_lungs_1fac1,					# 🫁
emoji_tooth_1f9b7,					# 🦷
emoji_bone_1f9b4,					# 🦴
emoji_eyes_1f440,					# 👀
emoji_eye_1f441,					# 👁
emoji_tongue_1f445,					# 👅
emoji_mouth_1f444,					# 👄
emoji_biting-lip_1fae6,					# 🫦
emoji_baby_1f476,					# 👶
emoji_child_1f9d2,					# 🧒
emoji_boy_1f466,					# 👦
emoji_girl_1f467,					# 👧
emoji_person_1f9d1,					# 🧑
emoji_person-blond-hair_1f471,				# 👱
emoji_man_1f468,					# 👨
emoji_person-beard_1f9d4,				# 🧔
emoji_man-beard_1f9d4,					# 🧔‍♂️
emoji_woman-beard_1f9d4,				# 🧔‍♀️
emoji_man-red-hair_1f468,				# 👨‍🦰
emoji_man-curly-hair_1f468,				# 👨‍🦱
emoji_man-white-hair_1f468,				# 👨‍🦳
emoji_man-bald_1f468,					# 👨‍🦲
emoji_woman_1f469,					# 👩
emoji_woman-red-hair_1f469,				# 👩‍🦰
emoji_person-red-hair_1f9d1,				# 🧑‍🦰
emoji_woman-curly-hair_1f469,				# 👩‍🦱
emoji_person-curly-hair_1f9d1,				# 🧑‍🦱
emoji_woman-white-hair_1f469,				# 👩‍🦳
emoji_person-white-hair_1f9d1,				# 🧑‍🦳
emoji_woman-bald_1f469,					# 👩‍🦲
emoji_person-bald_1f9d1,				# 🧑‍🦲
emoji_woman-blond-hair_1f471,				# 👱‍♀️
emoji_man-blond-hair_1f471,				# 👱‍♂️
emoji_older-person_1f9d3,				# 🧓
emoji_old-man_1f474,					# 👴
emoji_old-woman_1f475,					# 👵
emoji_person-frowning_1f64d,				# 🙍
emoji_man-frowning_1f64d,				# 🙍‍♂️
emoji_woman-frowning_1f64d,				# 🙍‍♀️
emoji_person-pouting_1f64e,				# 🙎
emoji_man-pouting_1f64e,				# 🙎‍♂️
emoji_woman-pouting_1f64e,				# 🙎‍♀️
emoji_person-gesturing-no_1f645,			# 🙅
emoji_man-gesturing-no_1f645,				# 🙅‍♂️
emoji_woman-gesturing-no_1f645,				# 🙅‍♀️
emoji_person-gesturing-ok_1f646,			# 🙆
emoji_man-gesturing-ok_1f646,				# 🙆‍♂️
emoji_woman-gesturing-ok_1f646,				# 🙆‍♀️
emoji_person-tipping-hand_1f481,			# 💁
emoji_man-tipping-hand_1f481,				# 💁‍♂️
emoji_woman-tipping-hand_1f481,				# 💁‍♀️
emoji_person-raising-hand_1f64b,			# 🙋
emoji_man-raising-hand_1f64b,				# 🙋‍♂️
emoji_woman-raising-hand_1f64b,				# 🙋‍♀️
emoji_deaf-person_1f9cf,				# 🧏
emoji_deaf-man_1f9cf,					# 🧏‍♂️
emoji_deaf-woman_1f9cf,					# 🧏‍♀️
emoji_person-bowing_1f647,				# 🙇
emoji_man-bowing_1f647,					# 🙇‍♂️
emoji_woman-bowing_1f647,				# 🙇‍♀️
emoji_person-facepalming_1f926,				# 🤦
emoji_man-facepalming_1f926,				# 🤦‍♂️
emoji_woman-facepalming_1f926,				# 🤦‍♀️
emoji_person-shrugging_1f937,				# 🤷
emoji_man-shrugging_1f937,				# 🤷‍♂️
emoji_woman-shrugging_1f937,				# 🤷‍♀️
emoji_health-worker_1f9d1,				# 🧑‍⚕️
emoji_man-health-worker_1f468,				# 👨‍⚕️
emoji_woman-health-worker_1f469,			# 👩‍⚕️
emoji_student_1f9d1,					# 🧑‍🎓
emoji_man-student_1f468,				# 👨‍🎓
emoji_woman-student_1f469,				# 👩‍🎓
emoji_teacher_1f9d1,					# 🧑‍🏫
emoji_man-teacher_1f468,				# 👨‍🏫
emoji_woman-teacher_1f469,				# 👩‍🏫
emoji_judge_1f9d1,					# 🧑‍⚖️
emoji_man-judge_1f468,					# 👨‍⚖️
emoji_woman-judge_1f469,				# 👩‍⚖️
emoji_farmer_1f9d1,					# 🧑‍🌾
emoji_man-farmer_1f468,					# 👨‍🌾
emoji_woman-farmer_1f469,				# 👩‍🌾
emoji_cook_1f9d1,					# 🧑‍🍳
emoji_man-cook_1f468,					# 👨‍🍳
emoji_woman-cook_1f469,					# 👩‍🍳
emoji_mechanic_1f9d1,					# 🧑‍🔧
emoji_man-mechanic_1f468,				# 👨‍🔧
emoji_woman-mechanic_1f469,				# 👩‍🔧
emoji_factory-worker_1f9d1,				# 🧑‍🏭
emoji_man-factory-worker_1f468,				# 👨‍🏭
emoji_woman-factory-worker_1f469,			# 👩‍🏭
emoji_office-worker_1f9d1,				# 🧑‍💼
emoji_man-office-worker_1f468,				# 👨‍💼
emoji_woman-office-worker_1f469,			# 👩‍💼
emoji_scientist_1f9d1,					# 🧑‍🔬
emoji_man-scientist_1f468,				# 👨‍🔬
emoji_woman-scientist_1f469,				# 👩‍🔬
emoji_technologist_1f9d1,				# 🧑‍💻
emoji_man-technologist_1f468,				# 👨‍💻
emoji_woman-technologist_1f469,				# 👩‍💻
emoji_singer_1f9d1,					# 🧑‍🎤
emoji_man-singer_1f468,					# 👨‍🎤
emoji_woman-singer_1f469,				# 👩‍🎤
emoji_artist_1f9d1,					# 🧑‍🎨
emoji_man-artist_1f468,					# 👨‍🎨
emoji_woman-artist_1f469,				# 👩‍🎨
emoji_pilot_1f9d1,					# 🧑‍✈️
emoji_man-pilot_1f468,					# 👨‍✈️
emoji_woman-pilot_1f469,				# 👩‍✈️
emoji_astronaut_1f9d1,					# 🧑‍🚀
emoji_man-astronaut_1f468,				# 👨‍🚀
emoji_woman-astronaut_1f469,				# 👩‍🚀
emoji_firefighter_1f9d1,				# 🧑‍🚒
emoji_man-firefighter_1f468,				# 👨‍🚒
emoji_woman-firefighter_1f469,				# 👩‍🚒
emoji_police-officer_1f46e,				# 👮
emoji_man-police-officer_1f46e,				# 👮‍♂️
emoji_woman-police-officer_1f46e,			# 👮‍♀️
emoji_detective_1f575,					# 🕵
emoji_man-detective_1f575,				# 🕵️‍♂️
emoji_woman-detective_1f575,				# 🕵️‍♀️
emoji_guard_1f482,					# 💂
emoji_man-guard_1f482,					# 💂‍♂️
emoji_woman-guard_1f482,				# 💂‍♀️
